idx	weapon	skin	keychain	scope	background

1.png	deagle         None disco     dot       purple    
1478.png	db             3    disco     dot       blue      
1479.png	rpg            5    None      acog      green     
1480.png	revolver       3    None      holo      green     
1481.png	revolver       1    None      dot       blue      
1482.png	p90            4    leaf      dot       red       
1483.png	spaz           None leaf      dot       green     
1484.png	revolver       4    medal     acog      blue      
1485.png	spaz           None disco     thermal   blue      
1486.png	db             None disco     acog      blue      
1487.png	p90            None medal     None      blue      
1488.png	revolver       6    None      None      green     
1489.png	db             1    None      holo      blue      
1490.png	p90            None disco     None      green     
1491.png	p90            2    disco     None      green     
1492.png	deagle         4    None      None      blue      
1493.png	deagle         7    None      None      purple    
1494.png	mp5            4    pinata    None      blue      
1495.png	spaz           2    leaf      dot       blue      
1496.png	revolver       8    dice      acog      green     
1497.png	mp5            6    leaf      thermal   green     
1498.png	db             3    None      None      green     
1499.png	deagle         1    disco     holo      blue      
1500.png	db             3    None      None      green     
1501.png	mp5            None leaf      dot       green     
1502.png	mp5            1    medal     None      purple    
1503.png	db             3    leaf      acog      purple    
1504.png	l96            None leaf      dot       red       
1505.png	p90            4    None      dot       purple    
1506.png	l96            6    None      None      green     
1507.png	revolver       4    None      acog      green     
1508.png	hunting_rifle  7    None      holo      green     
1509.png	spaz           8    None      acog      blue      
1510.png	hunting_rifle  8    None      holo      purple    
1511.png	rpg            8    medal     holo      green     
1512.png	mp5            4    dice      acog      green     
1513.png	db             None None      thermal   blue      
1514.png	hunting_rifle  4    leaf      None      green     
1515.png	p90            1    None      None      green     
1516.png	revolver       2    None      dot       green     
1517.png	mp5            7    disco     None      green     
1518.png	l96            3    dice      None      blue      
1519.png	hunting_rifle  7    None      acog      green     
1520.png	p90            8    pinata    None      green     
1521.png	deagle         None None      None      blue      
1522.png	p90            3    None      None      purple    
1523.png	revolver       2    None      None      green     
1524.png	mp5            None None      dot       green     
1525.png	mp5            1    None      None      green     
1526.png	revolver       2    None      None      blue      
1527.png	spaz           1    None      dot       green     
1528.png	mp5            4    disco     None      purple    
1529.png	hunting_rifle  None None      None      blue      
1530.png	deagle         1    None      None      blue      
1531.png	rpg            None None      dot       green     
1532.png	spaz           2    disco     thermal   purple    
1533.png	revolver       None dice      dot       blue      
1534.png	hunting_rifle  3    dice      acog      blue      
1535.png	db             3    None      None      green     
1536.png	p90            5    None      holo      red       
1537.png	tar            None pinata    None      blue      
1538.png	spaz           2    None      None      blue      
1539.png	hunting_rifle  4    None      dot       green     
1540.png	revolver       None None      acog      purple    
1541.png	mp5            None None      None      blue      
1542.png	tar            None None      thermal   blue      
1543.png	l96            None leaf      dot       green     
1544.png	db             5    pinata    None      purple    
1545.png	l96            2    None      acog      blue      
1546.png	hunting_rifle  2    None      dot       blue      
1547.png	deagle         5    None      dot       green     
1548.png	deagle         2    None      None      blue      
1549.png	revolver       6    None      acog      green     
1550.png	hunting_rifle  None disco     acog      purple    
1551.png	deagle         1    None      None      blue      
1552.png	p90            3    disco     acog      green     
1553.png	spaz           6    None      acog      green     
1554.png	revolver       None dice      dot       green     
1555.png	p90            None None      None      green     
1556.png	tar            3    leaf      None      blue      
1557.png	p90            None None      acog      purple    
1558.png	p90            7    disco     None      blue      
1559.png	db             None None      None      blue      
1560.png	db             None dice      None      green     
1561.png	ak47           5    disco     acog      blue      
1562.png	deagle         3    None      thermal   blue      
1563.png	l96            5    medal     holo      blue      
1564.png	revolver       1    None      dot       green     
1565.png	deagle         4    medal     None      green     
1566.png	deagle         8    leaf      holo      green     
1567.png	spaz           None leaf      None      blue      
1568.png	tar            4    dice      dot       purple    
1569.png	l96            1    None      dot       green     
1570.png	deagle         4    disco     holo      purple    
1571.png	deagle         None leaf      dot       blue      
1572.png	hunting_rifle  6    None      dot       blue      
1573.png	deagle         None None      None      blue      
1574.png	spaz           2    None      acog      green     
1575.png	hunting_rifle  1    None      acog      purple    
1576.png	ak47           1    dice      holo      purple    
1577.png	deagle         1    None      holo      green     
1578.png	db             5    disco     None      green     
1579.png	spaz           3    leaf      None      green     
1580.png	revolver       1    None      None      purple    
1581.png	mp5            1    None      dot       blue      
1582.png	db             4    disco     None      blue      
1583.png	deagle         7    leaf      dot       blue      
1584.png	mp5            None medal     holo      purple    
1585.png	spaz           5    disco     None      blue      
1586.png	deagle         None None      None      purple    
1587.png	l96            4    medal     dot       blue      
1588.png	spaz           2    leaf      None      purple    
1589.png	db             5    leaf      None      green     
1590.png	ak47           1    None      dot       blue      
1591.png	revolver       None None      dot       blue      
1592.png	spaz           6    None      acog      purple    
1593.png	l96            None None      acog      green     
1594.png	deagle         5    leaf      dot       green     
1595.png	db             2    None      holo      red       
1596.png	mp5            1    None      None      green     
1597.png	p90            7    dice      None      blue      
1598.png	spaz           1    None      dot       blue      
1599.png	tar            1    medal     dot       green     
1600.png	revolver       None None      None      purple    
1601.png	db             1    None      holo      blue      
1602.png	l96            None disco     dot       green     
1603.png	l96            1    pinata    acog      green     
1604.png	hunting_rifle  None None      None      green     
1605.png	deagle         4    None      None      green     
1606.png	deagle         1    leaf      None      blue      
1607.png	mp5            1    None      holo      green     
1608.png	revolver       1    None      acog      green     
1609.png	revolver       2    None      None      green     
1610.png	revolver       None disco     acog      green     
1611.png	db             5    None      dot       green     
1612.png	revolver       3    None      dot       blue      
1613.png	mp5            7    None      acog      purple    
1614.png	mp5            1    None      dot       blue      
1615.png	l96            2    None      holo      green     
1616.png	revolver       None disco     holo      purple    
1617.png	revolver       4    leaf      holo      green     
1618.png	mp5            None None      thermal   green     
1619.png	hunting_rifle  3    None      dot       blue      
1620.png	spaz           1    None      None      green     
1621.png	revolver       None leaf      holo      blue      
1622.png	spaz           4    leaf      None      blue      
1623.png	p90            2    leaf      None      blue      
1624.png	hunting_rifle  6    None      holo      blue      
1625.png	revolver       6    leaf      acog      green     
1626.png	deagle         5    dice      dot       blue      
1627.png	revolver       None None      acog      purple    
1628.png	mp5            2    disco     None      green     
1629.png	db             2    medal     None      blue      
1630.png	revolver       4    dice      None      blue      
1631.png	deagle         4    None      None      green     
1632.png	spaz           2    None      dot       green     
1633.png	deagle         5    None      acog      purple    
1634.png	spaz           4    disco     dot       green     
1635.png	deagle         3    leaf      holo      green     
1636.png	spaz           3    None      None      green     
1637.png	spaz           6    leaf      holo      blue      
1638.png	rpg            None None      dot       red       
1639.png	db             5    None      None      green     
1640.png	db             1    leaf      None      green     
1641.png	revolver       2    medal     acog      green     
1642.png	p90            1    None      None      blue      
1643.png	mp5            None leaf      dot       green     
1644.png	ak47           7    None      acog      purple    
1645.png	ak47           None medal     dot       blue      
1646.png	deagle         8    None      acog      purple    
1647.png	mp5            None medal     acog      purple    
1648.png	l96            2    leaf      acog      red       
1649.png	ray_gun        4    leaf      acog      green     
1650.png	rpg            1    leaf      acog      green     
1651.png	deagle         2    leaf      holo      blue      
1652.png	p90            4    disco     dot       blue      
1653.png	deagle         1    medal     dot       green     
1654.png	spaz           2    dice      acog      green     
1655.png	mp5            4    disco     dot       blue      
1656.png	tar            7    None      None      green     
1657.png	mp5            6    disco     dot       blue      
1658.png	l96            7    leaf      thermal   blue      
1659.png	hunting_rifle  2    None      None      red       
1660.png	tar            1    None      dot       blue      
1661.png	revolver       3    None      None      purple    
1662.png	l96            4    leaf      dot       green     
1663.png	revolver       4    leaf      acog      blue      
1664.png	db             None None      acog      blue      
1665.png	mp5            None leaf      holo      green     
1666.png	p90            4    None      None      green     
1667.png	db             None None      None      green     
1668.png	mp5            4    None      acog      green     
1669.png	ak47           1    None      holo      purple    
1670.png	spaz           1    dice      dot       purple    
1671.png	l96            7    None      None      green     
1672.png	p90            None leaf      acog      green     
1673.png	deagle         4    None      thermal   green     
1674.png	revolver       2    disco     None      blue      
1675.png	spaz           3    medal     dot       blue      
1676.png	db             3    leaf      None      green     
1677.png	l96            None leaf      None      green     
1678.png	revolver       5    disco     None      blue      
1679.png	p90            4    dice      acog      green     
1680.png	db             4    dice      None      red       
1681.png	revolver       7    dice      None      blue      
1682.png	db             2    None      acog      blue      
1683.png	deagle         4    disco     None      blue      
1684.png	hunting_rifle  3    pinata    None      blue      
1685.png	mp5            7    dice      None      green     
1686.png	spaz           None disco     None      blue      
1687.png	mp5            3    medal     None      blue      
1688.png	deagle         1    None      acog      blue      
1689.png	ak47           4    None      dot       blue      
1690.png	p90            2    leaf      dot       blue      
1691.png	mp5            None leaf      None      purple    
1692.png	revolver       2    medal     acog      green     
1693.png	spaz           5    disco     dot       green     
1694.png	db             7    None      None      blue      
1695.png	l96            1    leaf      None      green     
1696.png	p90            1    leaf      None      green     
1697.png	deagle         None None      acog      blue      
1698.png	ak47           6    pinata    dot       blue      
1699.png	p90            4    None      holo      green     
1700.png	mp5            2    dice      None      blue      
1701.png	l96            5    disco     acog      green     
1702.png	db             1    None      thermal   purple    
1703.png	mp5            3    dice      None      green     
1704.png	spaz           2    None      None      green     
1705.png	l96            5    None      dot       blue      
1706.png	spaz           6    None      dot       green     
1707.png	revolver       4    None      acog      blue      
1708.png	spaz           6    leaf      None      green     
1709.png	spaz           4    leaf      dot       green     
1710.png	db             None leaf      dot       blue      
1711.png	ak47           6    medal     None      blue      
1712.png	p90            7    pinata    None      green     
1713.png	spaz           7    pinata    dot       blue      
1714.png	deagle         2    pinata    holo      green     
1715.png	p90            4    disco     dot       blue      
1716.png	hunting_rifle  1    None      acog      blue      
1717.png	deagle         8    None      None      green     
1718.png	spaz           1    leaf      None      blue      
1719.png	spaz           3    pinata    dot       green     
1720.png	mp5            3    None      dot       green     
1721.png	revolver       1    disco     dot       green     
1722.png	spaz           None disco     dot       green     
1723.png	mp5            3    None      holo      blue      
1724.png	hunting_rifle  6    disco     dot       blue      
1725.png	mp5            1    leaf      dot       green     
1726.png	p90            4    None      holo      blue      
1727.png	mp5            1    dice      dot       green     
1728.png	hunting_rifle  1    dice      holo      blue      
1729.png	deagle         None None      acog      blue      
1730.png	deagle         2    None      None      green     
1731.png	deagle         2    pinata    dot       blue      
1732.png	hunting_rifle  3    medal     None      green     
1733.png	revolver       2    leaf      acog      purple    
1734.png	ak47           5    disco     holo      purple    
1735.png	db             3    medal     dot       blue      
1736.png	revolver       None dice      thermal   green     
1737.png	spaz           6    leaf      holo      green     
1738.png	hunting_rifle  1    None      acog      green     
1739.png	l96            4    pinata    None      blue      
1740.png	deagle         None dice      acog      green     
1741.png	deagle         6    None      dot       blue      
1742.png	mp5            1    None      None      blue      
1743.png	revolver       2    medal     None      purple    
1744.png	db             2    pinata    None      blue      
1745.png	revolver       4    None      None      green     
1746.png	mp5            6    leaf      holo      green     
1747.png	hunting_rifle  6    None      None      blue      
1748.png	ray_gun        1    None      None      blue      
1749.png	revolver       4    pinata    acog      blue      
1750.png	deagle         None None      holo      blue      
1751.png	revolver       3    leaf      dot       green     
1752.png	db             1    None      acog      green     
1753.png	spaz           2    None      holo      blue      
1754.png	revolver       1    leaf      None      blue      
1755.png	db             2    leaf      None      blue      
1756.png	db             2    disco     None      green     
1757.png	tar            2    disco     None      green     
1758.png	revolver       6    leaf      None      green     
1759.png	spaz           2    leaf      None      green     
1760.png	spaz           None None      thermal   blue      
1761.png	revolver       3    disco     acog      green     
1762.png	mp5            None None      dot       blue      
1763.png	revolver       7    leaf      acog      green     
1764.png	spaz           5    None      holo      blue      
1765.png	mp5            5    leaf      acog      blue      
1766.png	spaz           1    medal     dot       green     
1767.png	p90            3    pinata    dot       green     
1768.png	rpg            4    None      None      green     
1769.png	db             4    None      None      green     
1770.png	deagle         None None      None      green     
1771.png	hunting_rifle  7    leaf      dot       blue      
1772.png	hunting_rifle  None leaf      dot       blue      
1773.png	db             2    None      dot       green     
1774.png	db             1    None      dot       green     
1775.png	spaz           2    None      dot       blue      
1776.png	ray_gun        4    None      dot       blue      
1777.png	revolver       None leaf      None      purple    
1778.png	db             None None      acog      green     
1779.png	revolver       5    disco     acog      green     
1780.png	p90            None None      holo      green     
1781.png	deagle         5    medal     None      purple    
1782.png	deagle         None dice      None      purple    
1783.png	l96            1    None      dot       purple    
1784.png	spaz           2    dice      acog      blue      
1785.png	ak47           4    leaf      dot       green     
1786.png	deagle         None None      holo      green     
1787.png	mp5            None disco     acog      green     
1788.png	spaz           4    None      holo      red       
1789.png	revolver       4    pinata    acog      purple    
1790.png	revolver       2    pinata    None      blue      
1791.png	p90            3    None      dot       purple    
1792.png	spaz           6    pinata    None      blue      
1793.png	deagle         2    leaf      None      red       
1794.png	deagle         1    None      None      purple    
1795.png	revolver       None None      dot       green     
1796.png	rpg            1    None      dot       green     
1797.png	p90            6    None      None      blue      
1798.png	mp5            5    leaf      None      green     
1799.png	l96            2    None      None      green     
1800.png	mp5            7    None      dot       green     
1801.png	p90            8    None      dot       green     
1802.png	p90            5    None      holo      green     
1803.png	p90            1    None      None      green     
1804.png	mp5            1    leaf      None      blue      
1805.png	tar            None None      thermal   blue      
1806.png	db             2    leaf      holo      purple    
1807.png	revolver       3    disco     acog      green     
1808.png	mp5            5    disco     None      blue      
1809.png	db             5    disco     dot       red       
1810.png	revolver       None None      None      purple    
1811.png	deagle         7    leaf      None      green     
1812.png	revolver       None None      None      green     
1813.png	revolver       3    pinata    acog      blue      
1814.png	spaz           6    leaf      None      blue      
1815.png	mp5            7    None      None      blue      
1816.png	revolver       8    None      acog      green     
1817.png	ak47           6    leaf      None      blue      
1818.png	deagle         None dice      None      green     
1819.png	deagle         1    medal     None      green     
1820.png	revolver       2    None      None      green     
1821.png	deagle         3    None      None      green     
1822.png	p90            1    dice      acog      green     
1823.png	hunting_rifle  4    dice      acog      green     
1824.png	deagle         3    None      acog      blue      
1825.png	deagle         8    leaf      dot       blue      
1826.png	deagle         2    None      acog      green     
1827.png	l96            4    leaf      None      green     
1828.png	mp5            2    None      acog      green     
1829.png	deagle         8    None      acog      green     
1830.png	db             None medal     dot       blue      
1831.png	l96            3    leaf      thermal   blue      
1832.png	spaz           None None      acog      blue      
1833.png	deagle         7    None      dot       green     
1834.png	ak47           6    None      None      purple    
1835.png	spaz           2    pinata    None      purple    
1836.png	deagle         8    None      None      green     
1837.png	spaz           3    None      acog      green     
1838.png	db             2    pinata    holo      green     
1839.png	deagle         None leaf      holo      purple    
1840.png	l96            None leaf      None      purple    
1841.png	spaz           5    dice      dot       blue      
1842.png	tar            6    None      dot       green     
1843.png	spaz           1    None      None      blue      
1844.png	p90            8    None      dot       green     
1845.png	hunting_rifle  1    None      acog      green     
1846.png	p90            1    leaf      None      green     
1847.png	revolver       2    leaf      None      purple    
1848.png	p90            3    dice      holo      blue      
1849.png	hunting_rifle  2    None      dot       green     
1850.png	tar            8    None      dot       green     
1851.png	spaz           4    leaf      acog      blue      
1852.png	db             1    leaf      thermal   blue      
1853.png	ray_gun        3    leaf      acog      green     
1854.png	deagle         1    None      None      green     
1855.png	spaz           None disco     dot       green     
1856.png	spaz           5    None      dot       red       
1857.png	db             8    None      None      blue      
1858.png	revolver       2    medal     acog      green     
1859.png	mp5            1    disco     None      red       
1860.png	rpg            1    leaf      None      blue      
1861.png	l96            1    disco     acog      green     
1862.png	revolver       2    None      acog      blue      
1863.png	db             5    None      dot       purple    
1864.png	revolver       1    None      None      blue      
1865.png	revolver       4    None      acog      blue      
1866.png	revolver       5    None      acog      purple    
1867.png	db             None disco     dot       green     
1868.png	deagle         4    None      None      green     
1869.png	l96            1    dice      acog      blue      
1870.png	mp5            4    dice      None      green     
1871.png	l96            6    None      None      green     
1872.png	spaz           1    disco     None      blue      
1873.png	db             3    leaf      acog      green     
1874.png	l96            2    None      dot       green     
1875.png	revolver       None leaf      holo      blue      
1876.png	p90            2    None      holo      purple    
1877.png	deagle         4    pinata    dot       green     
1878.png	spaz           None None      holo      green     
1879.png	db             None None      None      green     
1880.png	deagle         6    leaf      acog      blue      
1881.png	hunting_rifle  2    None      None      green     
1882.png	revolver       4    None      acog      green     
1883.png	db             2    None      None      green     
1884.png	revolver       4    leaf      None      purple    
1885.png	deagle         1    leaf      None      blue      
1886.png	deagle         None None      holo      purple    
1887.png	spaz           1    None      holo      blue      
1888.png	ray_gun        1    None      dot       green     
1889.png	mp5            3    None      acog      green     
1890.png	ak47           7    medal     dot       purple    
1891.png	deagle         1    None      acog      blue      
1892.png	spaz           3    leaf      acog      blue      
1893.png	revolver       3    medal     None      red       
1894.png	deagle         7    None      acog      purple    
1895.png	spaz           7    None      None      green     
1896.png	deagle         1    pinata    holo      blue      
1897.png	hunting_rifle  3    None      acog      blue      
1898.png	revolver       None None      None      blue      
1899.png	db             8    None      acog      green     
1900.png	hunting_rifle  1    None      acog      blue      
1901.png	ak47           None leaf      holo      purple    
1902.png	mp5            None None      acog      blue      
1903.png	revolver       6    None      holo      purple    
1904.png	deagle         None leaf      acog      green     
1905.png	mp5            2    None      acog      green     
1906.png	p90            5    leaf      holo      red       
1907.png	deagle         None leaf      None      blue      
1908.png	db             5    None      None      green     
1909.png	revolver       None leaf      thermal   purple    
1910.png	revolver       1    pinata    None      green     
1911.png	revolver       None None      None      blue      
1912.png	spaz           7    leaf      holo      green     
1913.png	hunting_rifle  1    disco     dot       green     
1914.png	p90            4    disco     None      blue      
1915.png	ak47           4    disco     None      blue      
1916.png	hunting_rifle  5    disco     None      green     
1917.png	revolver       1    leaf      None      green     
1918.png	mp5            None disco     holo      green     
1919.png	db             3    dice      dot       green     
1920.png	spaz           3    None      acog      green     
1921.png	revolver       None None      dot       blue      
1922.png	revolver       4    None      holo      green     
1923.png	deagle         4    pinata    dot       green     
1924.png	revolver       6    None      holo      blue      
1925.png	p90            4    None      None      green     
1926.png	mp5            3    leaf      None      green     
1927.png	ak47           None None      None      green     
1928.png	spaz           1    medal     None      blue      
1929.png	p90            4    disco     holo      green     
1930.png	hunting_rifle  4    None      None      purple    
1931.png	revolver       6    None      None      green     
1932.png	deagle         3    disco     acog      green     
1933.png	revolver       3    leaf      dot       green     
1934.png	revolver       7    medal     holo      purple    
1935.png	db             4    None      holo      green     
1936.png	db             None dice      holo      blue      
1937.png	deagle         2    dice      acog      blue      
1938.png	revolver       3    None      None      green     
1939.png	spaz           3    None      None      green     
1940.png	revolver       6    medal     dot       purple    
1941.png	deagle         1    None      dot       green     
1942.png	db             2    medal     None      blue      
1943.png	l96            5    leaf      None      green     
1944.png	deagle         1    leaf      holo      green     
1945.png	ak47           2    None      None      green     
1946.png	deagle         3    None      dot       green     
1947.png	revolver       2    None      dot       blue      
1948.png	l96            2    None      dot       blue      
1949.png	p90            None None      acog      blue      
1950.png	ak47           5    dice      acog      purple    
1951.png	rpg            5    medal     None      green     
1952.png	db             3    None      dot       green     
1953.png	deagle         5    None      thermal   blue      
1954.png	l96            3    disco     dot       blue      
1955.png	db             None leaf      acog      blue      
1956.png	db             2    None      holo      purple    
1957.png	revolver       5    None      acog      blue      
1958.png	ak47           1    leaf      thermal   blue      
1959.png	db             5    medal     holo      green     
1960.png	p90            8    None      dot       blue      
1961.png	l96            7    None      dot       blue      
1962.png	revolver       1    None      None      green     
1963.png	db             8    medal     None      purple    
1964.png	deagle         5    None      None      red       
1965.png	spaz           5    dice      acog      green     
1966.png	db             1    medal     None      green     
1967.png	rpg            2    leaf      acog      purple    
1968.png	knife          5    None      None      purple    
1969.png	spaz           None dice      dot       blue      
1970.png	p90            1    medal     None      purple    
1971.png	hunting_rifle  2    None      acog      green     
1972.png	p90            4    leaf      dot       green     
1973.png	mp5            6    None      dot       purple    
1974.png	p90            5    leaf      None      blue      
1975.png	p90            2    None      acog      green     
1976.png	revolver       1    leaf      None      blue      
1977.png	hunting_rifle  2    leaf      None      green     
1978.png	mp5            3    None      dot       purple    
1979.png	spaz           1    dice      None      purple    
1980.png	mp5            3    medal     None      green     
1981.png	hunting_rifle  7    None      None      green     
1982.png	tar            4    None      None      blue      
1983.png	db             6    None      holo      purple    
1984.png	spaz           3    dice      holo      blue      
1985.png	db             6    None      None      blue      
1986.png	deagle         6    disco     None      blue      
1987.png	hunting_rifle  None leaf      holo      blue      
1988.png	p90            3    None      dot       blue      
1989.png	revolver       4    leaf      None      green     
1990.png	db             5    None      holo      blue      
1991.png	mp5            2    None      None      red       
1992.png	ak47           5    None      dot       blue      
1993.png	p90            5    disco     None      blue      
1994.png	hunting_rifle  7    disco     acog      blue      
1995.png	p90            7    None      acog      green     
1996.png	revolver       6    None      None      green     
1997.png	rpg            3    None      acog      blue      
1998.png	p90            None None      dot       green     
1999.png	revolver       1    None      holo      blue      
2000.png	revolver       2    None      None      green     
2001.png	spaz           6    None      acog      blue      
2002.png	spaz           1    leaf      dot       green     
2003.png	l96            4    dice      acog      green     
2004.png	deagle         6    leaf      acog      blue      
2005.png	mp5            1    disco     None      green     
2006.png	revolver       3    pinata    None      purple    
2007.png	hunting_rifle  1    None      None      blue      
2008.png	hunting_rifle  2    disco     dot       green     
2009.png	deagle         2    None      dot       green     
2010.png	mp5            5    None      None      red       
2011.png	deagle         3    None      None      purple    
2012.png	ak47           5    None      None      blue      
2013.png	mp5            None leaf      None      red       
2014.png	spaz           6    medal     None      green     
2015.png	hunting_rifle  3    None      dot       blue      
2016.png	l96            5    leaf      dot       blue      
2017.png	db             2    leaf      None      green     
2018.png	db             None dice      dot       green     
2019.png	mp5            2    None      dot       green     
2020.png	p90            4    None      None      purple    
2021.png	mp5            3    medal     dot       green     
2022.png	spaz           1    None      dot       blue      
2023.png	p90            1    leaf      dot       blue      
2024.png	spaz           5    dice      holo      blue      
2025.png	l96            6    dice      acog      green     
2026.png	revolver       7    leaf      holo      red       
2027.png	ak47           7    None      thermal   green     
2028.png	p90            None pinata    dot       green     
2029.png	mp5            2    None      None      blue      
2030.png	rpg            None None      acog      green     
2031.png	mp5            None leaf      acog      green     
2032.png	hunting_rifle  3    None      None      green     
2033.png	ak47           2    None      None      green     
2034.png	db             3    dice      acog      green     
2035.png	hunting_rifle  None leaf      None      green     
2036.png	spaz           1    None      acog      red       
2037.png	db             1    None      acog      blue      
2038.png	db             5    None      holo      blue      
2039.png	p90            5    pinata    dot       blue      
2040.png	revolver       8    None      None      blue      
2041.png	p90            3    None      holo      green     
2042.png	spaz           None disco     dot       green     
2043.png	revolver       3    None      None      blue      
2044.png	revolver       None None      None      purple    
2045.png	mp5            6    pinata    holo      purple    
2046.png	mp5            None None      acog      blue      
2047.png	deagle         2    None      dot       green     
2048.png	revolver       5    pinata    dot       green     
2049.png	hunting_rifle  6    leaf      acog      green     
2050.png	ray_gun        2    None      dot       blue      
2051.png	revolver       2    None      dot       green     
2052.png	hunting_rifle  5    leaf      dot       blue      
2053.png	p90            2    None      None      blue      
2054.png	deagle         2    pinata    None      blue      
2055.png	p90            7    dice      acog      blue      
2056.png	l96            3    medal     dot       green     
2057.png	revolver       1    None      dot       green     
2058.png	revolver       2    leaf      None      green     
2059.png	spaz           5    disco     thermal   green     
2060.png	mp5            None medal     thermal   purple    
2061.png	revolver       2    None      dot       green     
2062.png	db             8    leaf      thermal   green     
2063.png	db             6    disco     holo      red       
2064.png	hunting_rifle  6    disco     dot       green     
2065.png	revolver       1    leaf      acog      purple    
2066.png	p90            5    leaf      holo      purple    
2067.png	db             1    None      acog      green     
2068.png	spaz           5    None      acog      green     
2069.png	deagle         2    None      None      purple    
2070.png	db             None medal     thermal   blue      
2071.png	ak47           None None      dot       green     
2072.png	revolver       2    leaf      acog      blue      
2073.png	revolver       3    leaf      None      green     
2074.png	deagle         1    None      None      blue      
2075.png	db             6    None      acog      green     
2076.png	spaz           6    dice      dot       green     
2077.png	mp5            4    leaf      None      purple    
2078.png	p90            2    leaf      None      green     
2079.png	db             3    None      holo      green     
2080.png	p90            1    pinata    dot       purple    
2081.png	mp5            None None      dot       blue      
2082.png	spaz           None None      dot       green     
2083.png	spaz           None None      dot       green     
2084.png	revolver       8    pinata    thermal   green     
2085.png	p90            None leaf      None      blue      
2086.png	hunting_rifle  5    leaf      thermal   purple    
2087.png	hunting_rifle  2    leaf      acog      green     
2088.png	revolver       1    None      dot       blue      
2089.png	deagle         1    None      dot       purple    
2090.png	mp5            6    None      None      purple    
2091.png	spaz           None leaf      acog      green     
2092.png	db             8    leaf      acog      blue      
2093.png	hunting_rifle  2    None      acog      blue      
2094.png	spaz           7    None      None      blue      
2095.png	tar            7    leaf      dot       blue      
2096.png	revolver       2    None      None      green     
2097.png	p90            4    None      None      red       
2098.png	spaz           6    None      dot       green     
2099.png	spaz           1    disco     dot       green     
2100.png	p90            2    None      dot       blue      
2101.png	db             6    disco     None      blue      
2102.png	db             2    leaf      holo      blue      
2103.png	l96            1    leaf      None      purple    
2104.png	l96            1    None      None      green     
2105.png	spaz           5    leaf      acog      blue      
2106.png	l96            6    disco     acog      blue      
2107.png	p90            1    None      dot       green     
2108.png	spaz           5    medal     dot       green     
2109.png	deagle         7    None      None      blue      
2110.png	p90            3    None      acog      blue      
2111.png	mp5            2    None      dot       green     
2112.png	mp5            None pinata    acog      red       
2113.png	spaz           7    None      acog      purple    
2114.png	rpg            None medal     acog      green     
2115.png	mp5            1    pinata    None      blue      
2116.png	db             4    None      acog      red       
2117.png	deagle         8    None      None      blue      
2118.png	spaz           4    disco     dot       green     
2119.png	spaz           6    pinata    acog      green     
2120.png	tar            5    None      dot       blue      
2121.png	hunting_rifle  6    pinata    acog      blue      
2122.png	spaz           2    None      None      blue      
2123.png	db             7    None      thermal   green     
2124.png	spaz           6    leaf      holo      blue      
2125.png	p90            5    None      acog      blue      
2126.png	db             1    dice      thermal   red       
2127.png	revolver       7    None      dot       green     
2128.png	deagle         None None      dot       green     
2129.png	mp5            2    None      acog      green     
2130.png	mp5            5    dice      dot       green     
2131.png	spaz           1    disco     None      green     
2132.png	revolver       5    None      holo      purple    
2133.png	ak47           1    disco     acog      blue      
2134.png	revolver       1    pinata    holo      green     
2135.png	p90            None None      dot       purple    
2136.png	spaz           2    None      thermal   green     
2137.png	revolver       6    None      holo      green     
2138.png	hunting_rifle  None None      thermal   green     
2139.png	mp5            6    None      None      blue      
2140.png	p90            6    dice      None      green     
2141.png	revolver       2    leaf      acog      green     
2142.png	deagle         7    None      dot       purple    
2143.png	l96            4    None      dot       green     
2144.png	p90            None None      holo      blue      
2145.png	mp5            None None      None      purple    
2146.png	hunting_rifle  3    None      None      green     
2147.png	deagle         1    None      None      blue      
2148.png	l96            None None      None      purple    
2149.png	mp5            None pinata    None      green     
2150.png	revolver       6    None      acog      green     
2151.png	ak47           8    leaf      dot       green     
2152.png	knife          3    disco     None      green     
2153.png	spaz           1    disco     None      blue      
2154.png	mp5            None None      None      blue      
2155.png	hunting_rifle  4    None      holo      blue      
2156.png	rpg            6    None      None      blue      
2157.png	ak47           3    None      dot       blue      
2158.png	spaz           1    None      None      green     
2159.png	mp5            4    leaf      thermal   blue      
2160.png	db             7    disco     dot       green     
2161.png	spaz           3    None      acog      purple    
2162.png	deagle         4    leaf      dot       green     
2163.png	revolver       3    None      thermal   purple    
2164.png	p90            7    None      None      green     
2165.png	deagle         3    leaf      acog      blue      
2166.png	hunting_rifle  5    leaf      None      green     
2167.png	revolver       4    None      holo      blue      
2168.png	spaz           None leaf      None      purple    
2169.png	revolver       7    leaf      dot       blue      
2170.png	tar            None None      dot       green     
2171.png	hunting_rifle  3    dice      None      green     
2172.png	deagle         3    leaf      acog      green     
2173.png	revolver       3    disco     holo      purple    
2174.png	l96            5    dice      acog      green     
2175.png	hunting_rifle  2    leaf      holo      green     
2176.png	revolver       None leaf      dot       purple    
2177.png	spaz           2    pinata    None      blue      
2178.png	mp5            1    leaf      None      green     
2179.png	p90            None None      None      green     
2180.png	l96            1    None      holo      green     
2181.png	ak47           1    None      holo      green     
2182.png	hunting_rifle  4    leaf      thermal   blue      
2183.png	db             7    leaf      acog      purple    
2184.png	deagle         1    dice      thermal   blue      
2185.png	deagle         8    None      acog      purple    
