idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
2433.png	deagle         3    leaf      acog      blue      
2434.png	deagle         4    disco     dot       blue      
2435.png	mp5            1    None      dot       purple    
2436.png	mp5            2    None      None      green     
2437.png	rpg            2    leaf      acog      blue      
2438.png	db             1    None      None      green     
2439.png	revolver       1    leaf      dot       blue      
2440.png	db             5    None      holo      green     
2441.png	rpg            1    None      None      blue      
2442.png	db             None disco     dot       red       
2443.png	deagle         None pinata    acog      green     
2444.png	db             6    None      None      green     
2445.png	deagle         3    None      holo      blue      
2446.png	revolver       1    medal     holo      purple    
2447.png	db             4    None      None      green     
2448.png	hunting_rifle  1    dice      None      green     
2449.png	spaz           3    dice      acog      blue      
2450.png	revolver       6    disco     None      blue      
2451.png	tar            None None      dot       blue      
2452.png	hunting_rifle  2    disco     None      blue      
2453.png	mp5            3    None      None      green     
2454.png	deagle         2    dice      holo      blue      
2455.png	l96            7    None      acog      purple    
2456.png	p90            2    medal     dot       green     
2457.png	revolver       2    disco     None      green     
2458.png	deagle         1    None      acog      blue      
2459.png	mp5            5    None      acog      red       
2460.png	deagle         4    pinata    holo      blue      
2461.png	ak47           3    medal     None      purple    
2462.png	mp5            2    dice      dot       blue      
2463.png	db             7    pinata    None      blue      
2464.png	p90            8    None      acog      purple    
2465.png	revolver       6    pinata    None      green     
2466.png	db             1    None      acog      green     
2467.png	revolver       None leaf      acog      green     
2468.png	spaz           None dice      holo      blue      
2469.png	mp5            2    dice      None      purple    
2470.png	p90            7    leaf      None      blue      
2471.png	ak47           None leaf      dot       red       
2472.png	db             3    disco     None      green     
2473.png	deagle         2    pinata    thermal   green     
2474.png	rpg            None leaf      None      red       
2475.png	ak47           5    None      None      green     
2476.png	spaz           3    None      dot       blue      
2477.png	deagle         3    leaf      None      blue      
2478.png	spaz           7    dice      dot       blue      
2479.png	mp5            8    disco     None      green     
2480.png	mp5            2    None      acog      purple    
2481.png	revolver       3    None      dot       purple    
2482.png	hunting_rifle  None None      None      purple    
2483.png	mp5            1    leaf      acog      purple    
2484.png	tar            2    pinata    None      blue      
2485.png	revolver       None leaf      None      blue      
2486.png	tar            None None      dot       purple    
2487.png	deagle         6    leaf      holo      green     
2488.png	p90            None dice      None      green     
2489.png	p90            5    leaf      dot       green     
2490.png	deagle         6    disco     None      green     
2491.png	deagle         3    leaf      holo      green     
2492.png	deagle         2    pinata    None      blue      
2493.png	db             7    leaf      None      purple    
2494.png	db             1    None      thermal   green     
2495.png	p90            2    None      acog      blue      
2496.png	spaz           1    None      None      green     
2497.png	spaz           4    leaf      None      green     
2498.png	l96            2    medal     acog      purple    
2499.png	spaz           2    None      None      blue      
2500.png	ak47           None leaf      thermal   purple    
2501.png	deagle         7    pinata    holo      blue      
2502.png	revolver       1    dice      None      green     
2503.png	revolver       2    None      dot       green     
2504.png	spaz           2    None      holo      red       
2505.png	p90            1    None      dot       blue      
2506.png	db             6    None      acog      blue      
2507.png	mp5            5    None      None      green     
2508.png	hunting_rifle  None leaf      dot       purple    
2509.png	spaz           6    leaf      dot       purple    
2510.png	l96            5    leaf      None      blue      
2511.png	deagle         8    None      acog      green     
2512.png	deagle         2    leaf      None      red       
2513.png	revolver       4    None      acog      purple    
2514.png	p90            6    None      holo      blue      
2515.png	hunting_rifle  2    leaf      acog      green     
2516.png	p90            6    None      holo      purple    
2517.png	ak47           None None      None      green     
2518.png	revolver       4    None      None      blue      
2519.png	spaz           3    leaf      None      purple    
2520.png	spaz           1    None      dot       blue      
2521.png	deagle         3    None      holo      green     
2522.png	spaz           3    None      None      purple    
2523.png	mp5            None disco     acog      green     
2524.png	deagle         None None      dot       green     
2525.png	db             4    None      None      blue      
2526.png	hunting_rifle  8    None      dot       green     
2527.png	tar            1    None      None      purple    
2528.png	mp5            None disco     acog      green     
2529.png	deagle         4    None      holo      blue      
2530.png	spaz           3    disco     dot       green     
2531.png	db             1    None      None      blue      
2532.png	rpg            7    leaf      acog      green     
2533.png	deagle         None None      None      green     
2534.png	revolver       None None      acog      blue      
2535.png	hunting_rifle  7    None      None      blue      
2536.png	mp5            1    None      acog      blue      
2537.png	revolver       None dice      None      green     
2538.png	db             1    None      acog      green     
2539.png	revolver       7    leaf      None      blue      
2540.png	p90            None leaf      None      blue      
2541.png	deagle         7    None      acog      blue      
2542.png	l96            1    None      None      green     
2543.png	hunting_rifle  2    None      acog      green     
2544.png	l96            5    None      dot       purple    
2545.png	tar            None leaf      None      purple    
2546.png	deagle         7    leaf      None      blue      
2547.png	tar            None None      None      purple    
2548.png	mp5            5    None      holo      purple    
2549.png	deagle         2    leaf      None      green     
2550.png	spaz           1    leaf      dot       green     
2551.png	db             4    None      dot       green     
2552.png	p90            None pinata    None      purple    
2553.png	mp5            3    leaf      holo      green     
2554.png	db             None pinata    acog      green     
2555.png	l96            None leaf      None      green     
2556.png	tar            1    leaf      dot       green     
2557.png	db             5    None      holo      red       
2558.png	deagle         3    pinata    thermal   green     
2559.png	spaz           4    leaf      None      blue      
2560.png	p90            None dice      None      green     
2561.png	db             5    leaf      dot       purple    
2562.png	spaz           6    None      None      purple    
2563.png	l96            3    medal     None      purple    
2564.png	revolver       3    None      None      purple    
2565.png	spaz           2    None      None      blue      
2566.png	mp5            8    dice      acog      green     
2567.png	rpg            2    leaf      acog      green     
2568.png	revolver       None None      holo      green     
2569.png	deagle         3    None      dot       purple    
2570.png	l96            7    None      None      green     
2571.png	revolver       None leaf      None      green     
2572.png	mp5            3    leaf      None      purple    
2573.png	db             5    disco     None      green     
2574.png	spaz           5    medal     thermal   purple    
2575.png	deagle         5    leaf      dot       green     
2576.png	spaz           None None      dot       blue      
2577.png	spaz           8    leaf      thermal   blue      
2578.png	db             2    leaf      acog      blue      
2579.png	db             4    None      None      green     
2580.png	hunting_rifle  2    None      None      blue      
2581.png	ak47           8    medal     acog      green     
2582.png	spaz           3    dice      None      green     
2583.png	spaz           1    pinata    dot       blue      
2584.png	revolver       5    None      dot       green     
2585.png	mp5            5    dice      None      purple    
2586.png	deagle         5    None      dot       purple    
2587.png	mp5            3    dice      dot       purple    
2588.png	hunting_rifle  2    None      acog      red       
2589.png	hunting_rifle  2    dice      dot       purple    
2590.png	db             2    None      dot       blue      
2591.png	hunting_rifle  6    leaf      thermal   blue      
2592.png	spaz           1    leaf      acog      green     
2593.png	revolver       None None      None      blue      
2594.png	revolver       None leaf      holo      green     
2595.png	p90            None medal     None      purple    
2596.png	l96            6    leaf      dot       blue      
2597.png	revolver       5    leaf      acog      blue      
2598.png	spaz           7    None      holo      green     
2599.png	deagle         3    pinata    dot       green     
2600.png	l96            3    None      holo      purple    
2601.png	deagle         6    medal     dot       purple    
2602.png	hunting_rifle  1    None      None      green     
2603.png	l96            8    None      None      blue      
2604.png	revolver       None None      acog      blue      
2605.png	l96            1    None      None      blue      
2606.png	spaz           5    medal     dot       purple    
2607.png	db             1    None      None      red       
2608.png	revolver       1    None      holo      blue      
2609.png	l96            6    None      thermal   blue      
2610.png	ak47           2    None      holo      blue      
2611.png	deagle         8    leaf      None      purple    
2612.png	spaz           4    medal     dot       green     
2613.png	ak47           6    None      dot       blue      
2614.png	p90            2    leaf      None      green     
2615.png	hunting_rifle  1    None      dot       blue      
2616.png	p90            1    leaf      None      green     
2617.png	deagle         5    disco     dot       blue      
2618.png	hunting_rifle  2    None      holo      blue      
2619.png	hunting_rifle  5    pinata    None      blue      
2620.png	ak47           3    medal     dot       green     
2621.png	hunting_rifle  6    leaf      dot       green     
2622.png	mp5            8    dice      acog      purple    
2623.png	p90            3    None      dot       green     
2624.png	p90            2    None      dot       blue      
2625.png	spaz           2    None      None      blue      
2626.png	tar            1    pinata    dot       purple    
2627.png	mp5            None disco     None      blue      
2628.png	hunting_rifle  None None      None      green     
2629.png	deagle         None None      holo      blue      
2630.png	revolver       6    None      None      green     
2631.png	spaz           8    None      acog      blue      
2632.png	hunting_rifle  2    None      holo      green     
2633.png	db             1    disco     holo      blue      
2634.png	spaz           2    None      holo      green     
2635.png	hunting_rifle  None pinata    dot       green     
2636.png	tar            3    leaf      None      blue      
2637.png	revolver       3    leaf      holo      green     
2638.png	deagle         3    dice      acog      blue      
2639.png	mp5            2    None      None      blue      
2640.png	p90            1    None      dot       green     
2641.png	hunting_rifle  6    None      dot       green     
2642.png	revolver       7    medal     dot       green     
2643.png	ak47           6    disco     dot       green     
2644.png	deagle         4    None      dot       purple    
2645.png	mp5            2    None      None      purple    
2646.png	l96            7    None      None      blue      
2647.png	revolver       9    medal     dot       green     
2648.png	deagle         2    None      None      blue      
2649.png	revolver       8    None      None      green     
2650.png	revolver       2    None      acog      green     
2651.png	spaz           None pinata    dot       green     
2652.png	spaz           None None      thermal   blue      
2653.png	ak47           1    None      None      green     
2654.png	mp5            1    None      dot       blue      
2655.png	mp5            7    None      acog      blue      
2656.png	p90            1    None      acog      purple    
2657.png	revolver       7    leaf      holo      blue      
2658.png	revolver       1    leaf      dot       green     
2659.png	db             6    leaf      dot       green     
2660.png	revolver       4    pinata    holo      blue      
2661.png	mp5            None disco     None      green     
2662.png	l96            2    None      dot       green     
2663.png	ak47           4    pinata    acog      green     
2664.png	revolver       2    None      holo      green     
2665.png	l96            3    disco     acog      green     
2666.png	deagle         2    medal     dot       green     
2667.png	mp5            None None      acog      blue      
2668.png	deagle         5    medal     holo      green     
2669.png	mp5            1    None      dot       green     
2670.png	hunting_rifle  6    None      holo      green     
2671.png	revolver       None medal     thermal   green     
2672.png	deagle         3    None      dot       blue      
2673.png	db             None None      None      green     
2674.png	db             4    None      holo      green     
2675.png	mp5            None medal     acog      blue      
2676.png	revolver       5    disco     dot       purple    
2677.png	mp5            1    None      None      red       
2678.png	db             3    dice      holo      green     
2679.png	deagle         4    leaf      dot       green     
2680.png	p90            1    leaf      acog      green     
2681.png	spaz           8    pinata    None      red       
2682.png	revolver       2    None      None      green     
2683.png	ak47           8    None      thermal   blue      
2684.png	revolver       4    dice      dot       green     
2685.png	ak47           2    None      dot       green     
2686.png	p90            5    None      dot       blue      
2687.png	revolver       3    medal     dot       blue      
2688.png	l96            7    None      holo      blue      
2689.png	revolver       None None      holo      blue      
2690.png	mp5            None None      None      blue      
2691.png	deagle         8    None      acog      blue      
2692.png	revolver       2    None      acog      blue      
2693.png	p90            1    None      None      green     
2694.png	revolver       1    None      None      blue      
2695.png	mp5            None None      acog      purple    
2696.png	tar            1    None      None      blue      
2697.png	deagle         7    None      acog      green     
2698.png	spaz           1    disco     None      green     
2699.png	db             None None      dot       blue      
2700.png	db             1    leaf      dot       red       
2701.png	p90            None dice      None      purple    
2702.png	mp5            None leaf      dot       green     
2703.png	deagle         None None      acog      purple    
2704.png	revolver       1    None      dot       purple    
2705.png	ak47           1    leaf      dot       blue      
2706.png	db             1    medal     acog      blue      
2707.png	hunting_rifle  None None      acog      green     
2708.png	db             None disco     dot       green     
2709.png	mp5            2    None      None      purple    
2710.png	revolver       None None      thermal   green     
2711.png	revolver       8    leaf      holo      green     
2712.png	ak47           8    None      None      purple    
2713.png	revolver       5    pinata    None      red       
2714.png	spaz           1    medal     holo      green     
2715.png	revolver       3    dice      dot       blue      
2716.png	db             3    None      None      blue      
2717.png	l96            7    None      acog      green     
2718.png	db             1    None      acog      green     
2719.png	deagle         None None      acog      green     
2720.png	hunting_rifle  5    None      dot       blue      
2721.png	p90            2    None      None      green     
2722.png	revolver       4    medal     dot       green     
2723.png	deagle         6    leaf      dot       blue      
2724.png	mp5            1    medal     acog      red       
2725.png	ak47           7    None      None      purple    
2726.png	rpg            1    medal     thermal   blue      
2727.png	deagle         1    None      dot       blue      
2728.png	tar            7    leaf      acog      blue      
2729.png	db             1    leaf      None      purple    
2730.png	deagle         None leaf      None      blue      
2731.png	revolver       None None      None      green     
2732.png	deagle         None leaf      None      blue      
2733.png	ak47           8    None      None      blue      
2734.png	revolver       6    dice      dot       green     
2735.png	hunting_rifle  7    None      None      green     
2736.png	db             None None      acog      green     
2737.png	spaz           None leaf      None      blue      
2738.png	hunting_rifle  5    None      None      green     
2739.png	p90            3    None      None      blue      
2740.png	revolver       5    leaf      acog      blue      
2741.png	mp5            3    None      acog      blue      
2742.png	deagle         1    None      acog      green     
2743.png	revolver       None disco     holo      red       
2744.png	ak47           None medal     None      blue      
2745.png	deagle         8    None      holo      green     
2746.png	l96            3    leaf      dot       green     
2747.png	spaz           2    medal     None      blue      
2748.png	db             8    None      holo      green     
2749.png	rpg            3    leaf      dot       green     
2750.png	revolver       2    None      acog      blue      
2751.png	revolver       None None      None      green     
2752.png	revolver       2    None      holo      green     
2753.png	revolver       3    dice      None      red       
2754.png	revolver       None None      acog      green     
2755.png	spaz           6    None      dot       green     
2756.png	tar            None None      holo      green     
2757.png	deagle         1    dice      holo      blue      
2758.png	mp5            2    None      None      green     
2759.png	revolver       4    leaf      None      green     
2760.png	mp5            None None      dot       green     
2761.png	db             6    None      acog      green     
2762.png	spaz           3    medal     None      purple    
2763.png	mp5            2    dice      None      blue      
2764.png	mp5            2    None      None      blue      
2765.png	mp5            3    disco     holo      green     
2766.png	p90            3    leaf      holo      green     
2767.png	revolver       2    None      dot       green     
2768.png	hunting_rifle  6    None      None      blue      
2769.png	revolver       2    None      dot       blue      
2770.png	p90            5    None      dot       blue      
2771.png	db             8    None      dot       blue      
2772.png	p90            3    pinata    dot       green     
2773.png	tar            2    None      None      blue      
2774.png	db             3    leaf      dot       blue      
2775.png	spaz           7    None      holo      blue      
2776.png	ray_gun        None leaf      None      green     
2777.png	spaz           3    dice      thermal   red       
2778.png	p90            2    None      dot       green     
2779.png	revolver       1    leaf      dot       blue      
2780.png	hunting_rifle  6    None      acog      green     
2781.png	hunting_rifle  None dice      holo      green     
2782.png	mp5            1    None      acog      blue      
2783.png	deagle         None leaf      thermal   green     
2784.png	ray_gun        8    disco     acog      purple    
2785.png	mp5            None leaf      holo      blue      
2786.png	l96            None None      acog      green     
2787.png	spaz           3    pinata    None      green     
2788.png	spaz           2    None      None      blue      
2789.png	tar            4    leaf      holo      green     
2790.png	ray_gun        6    None      dot       green     
2791.png	deagle         2    None      acog      purple    
2792.png	hunting_rifle  3    None      dot       green     
2793.png	db             7    leaf      holo      blue      
2794.png	revolver       None medal     holo      green     
2795.png	tar            1    None      holo      green     
2796.png	hunting_rifle  None None      None      green     
2797.png	deagle         7    leaf      dot       purple    
2798.png	rpg            1    disco     acog      green     
2799.png	revolver       None medal     None      blue      
2800.png	revolver       5    pinata    acog      green     
2801.png	l96            3    None      acog      blue      
2802.png	mp5            1    medal     dot       green     
2803.png	deagle         4    None      acog      green     
2804.png	spaz           None None      acog      green     
2805.png	mp5            None None      acog      green     
2806.png	revolver       1    medal     dot       green     
2807.png	revolver       7    dice      None      purple    
2808.png	deagle         None None      None      blue      
2809.png	db             7    leaf      None      blue      
2810.png	revolver       2    leaf      acog      purple    
2811.png	db             1    pinata    None      blue      
2812.png	deagle         1    None      None      green     
2813.png	deagle         1    pinata    None      purple    
2814.png	revolver       4    None      dot       green     
2815.png	db             5    leaf      None      purple    
2816.png	spaz           7    None      dot       green     
2817.png	spaz           5    None      acog      green     
2818.png	p90            4    pinata    None      blue      
2819.png	spaz           6    leaf      dot       green     
2820.png	revolver       2    None      None      green     
2821.png	ak47           1    disco     None      green     
2822.png	db             5    medal     acog      blue      
2823.png	db             None pinata    dot       blue      
2824.png	deagle         2    None      acog      blue      
2825.png	db             1    leaf      None      purple    
2826.png	revolver       None None      dot       blue      
2827.png	db             8    None      thermal   blue      
2828.png	deagle         2    dice      None      green     
2829.png	hunting_rifle  3    leaf      dot       blue      
2830.png	revolver       4    None      acog      blue      
2831.png	mp5            1    disco     dot       green     
2832.png	spaz           None leaf      thermal   blue      
2833.png	db             1    None      acog      green     
2834.png	revolver       None None      dot       green     
2835.png	ak47           3    None      dot       purple    
2836.png	db             3    leaf      acog      green     
2837.png	p90            3    None      dot       red       
2838.png	revolver       None None      acog      green     
2839.png	tar            None None      None      green     
2840.png	revolver       3    dice      None      green     
2841.png	revolver       4    None      holo      purple    
2842.png	revolver       1    None      None      purple    
2843.png	l96            2    leaf      acog      blue      
2844.png	hunting_rifle  3    leaf      None      blue      
2845.png	hunting_rifle  None leaf      dot       green     
2846.png	deagle         6    medal     dot       green     
2847.png	db             4    pinata    None      green     
2848.png	mp5            1    None      None      green     
2849.png	deagle         None None      holo      purple    
2850.png	db             6    None      dot       blue      
2851.png	l96            4    None      acog      blue      
2852.png	tar            6    None      acog      blue      
2853.png	hunting_rifle  6    leaf      None      red       
2854.png	l96            1    None      acog      blue      
2855.png	revolver       3    None      thermal   blue      
2856.png	mp5            None None      None      blue      
2857.png	spaz           None None      acog      purple    
2858.png	db             2    None      None      blue      
2859.png	revolver       7    leaf      None      blue      
2860.png	tar            None None      None      green     
2861.png	deagle         2    disco     holo      green     
2862.png	db             5    None      acog      blue      
2863.png	l96            2    None      dot       green     
2864.png	mp5            None None      thermal   green     
2865.png	ak47           1    leaf      dot       blue      
2866.png	revolver       3    None      None      green     
2867.png	revolver       5    None      None      green     
2868.png	spaz           8    leaf      acog      green     
2869.png	ak47           6    leaf      None      green     
2870.png	mp5            4    disco     None      purple    
2871.png	deagle         8    None      acog      blue      
2872.png	l96            1    None      None      blue      
2873.png	revolver       2    None      dot       purple    
2874.png	p90            4    leaf      holo      purple    
2875.png	mp5            1    None      None      green     
2876.png	revolver       None medal     None      green     
2877.png	spaz           2    None      holo      green     
2878.png	mp5            5    leaf      dot       green     
2879.png	spaz           1    None      dot       blue      
2880.png	revolver       8    disco     holo      blue      
2881.png	deagle         None None      None      green     
2882.png	mp5            2    pinata    dot       blue      
2883.png	l96            5    None      None      purple    
2884.png	ak47           2    None      acog      purple    
2885.png	mp5            2    leaf      None      purple    
2886.png	revolver       9    None      acog      green     
2887.png	db             5    leaf      holo      blue      
2888.png	spaz           None leaf      dot       blue      
2889.png	p90            4    disco     acog      blue      
2890.png	l96            7    leaf      holo      blue      
2891.png	spaz           None dice      acog      purple    
2892.png	ak47           1    leaf      None      blue      
2893.png	spaz           2    None      None      green     
2894.png	ak47           6    None      holo      green     
2895.png	mp5            3    None      acog      purple    
2896.png	hunting_rifle  4    None      None      green     
2897.png	db             3    disco     dot       green     
2898.png	mp5            5    leaf      None      blue      
2899.png	p90            1    leaf      None      blue      
2900.png	revolver       2    dice      acog      green     
2901.png	spaz           None medal     acog      green     
2902.png	deagle         7    None      None      purple    
2903.png	l96            1    leaf      None      blue      
2904.png	revolver       1    None      None      blue      
2905.png	mp5            8    None      dot       blue      
2906.png	db             None None      acog      red       
2907.png	deagle         1    None      None      green     
2908.png	db             2    dice      acog      blue      
2909.png	db             None disco     dot       green     
2910.png	mp5            3    None      dot       blue      
2911.png	revolver       7    leaf      dot       green     
2912.png	spaz           8    None      None      green     
2913.png	deagle         8    disco     acog      blue      
2914.png	db             1    None      None      green     
2915.png	revolver       2    None      None      green     
2916.png	l96            1    leaf      thermal   purple    
2917.png	revolver       4    medal     None      blue      
2918.png	revolver       3    None      acog      green     
2919.png	p90            1    disco     dot       blue      
2920.png	revolver       7    leaf      dot       purple    
2921.png	hunting_rifle  None dice      dot       blue      
2922.png	spaz           1    None      None      green     
2923.png	rpg            6    None      None      blue      
2924.png	rpg            None disco     dot       blue      
2925.png	db             3    None      acog      green     
2926.png	spaz           2    disco     None      blue      
2927.png	db             1    None      None      blue      
2928.png	spaz           8    leaf      None      green     
2929.png	mp5            None None      None      blue      
2930.png	hunting_rifle  None leaf      thermal   purple    
2931.png	spaz           5    dice      None      green     
2932.png	db             1    dice      None      purple    
2933.png	spaz           6    leaf      None      green     
2934.png	deagle         3    leaf      acog      green     
2935.png	p90            6    None      None      blue      
2936.png	mp5            None None      None      blue      
2937.png	revolver       1    disco     None      red       
2938.png	spaz           8    None      dot       green     
2939.png	p90            4    None      acog      blue      
2940.png	mp5            6    dice      holo      green     
2941.png	p90            2    dice      None      blue      
2942.png	tar            1    medal     None      green     
2943.png	mp5            2    medal     holo      blue      
2944.png	revolver       1    None      dot       purple    
2945.png	ak47           6    leaf      None      green     
2946.png	spaz           5    medal     None      green     
2947.png	deagle         1    medal     acog      blue      
2948.png	mp5            3    disco     acog      green     
2949.png	db             8    dice      dot       blue      
2950.png	mp5            7    None      dot       purple    
2951.png	revolver       None None      acog      green     
2952.png	l96            7    pinata    thermal   green     
2953.png	p90            7    leaf      None      green     
2954.png	deagle         1    dice      None      green     
2955.png	revolver       6    leaf      acog      blue      
2956.png	ak47           7    None      holo      green     
2957.png	revolver       5    None      None      blue      
2958.png	revolver       6    None      dot       green     
2959.png	revolver       5    leaf      None      green     
2960.png	spaz           7    None      None      green     
2961.png	p90            1    None      holo      blue      
2962.png	revolver       8    leaf      None      green     
2963.png	spaz           5    disco     None      red       
2964.png	l96            2    None      acog      blue      
2965.png	p90            2    None      holo      green     
2966.png	db             3    None      None      blue      
2967.png	p90            2    None      holo      purple    
2968.png	mp5            None medal     dot       purple    
2969.png	hunting_rifle  2    leaf      holo      green     
2970.png	ak47           6    disco     dot       green     
2971.png	spaz           6    dice      dot       blue      
2972.png	db             2    None      acog      green     
2973.png	mp5            3    None      None      blue      
2974.png	tar            1    dice      dot       blue      
2975.png	p90            None pinata    None      green     
2976.png	p90            1    leaf      dot       blue      
2977.png	p90            8    None      dot       green     
2978.png	db             5    disco     thermal   green     
2979.png	p90            None medal     holo      blue      
2980.png	revolver       None leaf      holo      green     
2981.png	db             4    None      acog      green     
2982.png	db             None None      None      purple    
2983.png	spaz           4    None      None      blue      
2984.png	spaz           6    leaf      acog      blue      
2985.png	deagle         None None      None      blue      
2986.png	hunting_rifle  3    leaf      acog      purple    
2987.png	deagle         6    disco     dot       purple    
2988.png	mp5            None pinata    holo      green     
2989.png	deagle         8    None      holo      green     
2990.png	revolver       4    disco     dot       blue      
2991.png	deagle         3    None      holo      red       
2992.png	spaz           None None      None      blue      
2993.png	deagle         None None      None      purple    
2994.png	revolver       5    None      acog      green     
2995.png	hunting_rifle  5    None      acog      blue      
2996.png	ak47           5    pinata    None      blue      
2997.png	db             None disco     dot       blue      
2998.png	spaz           6    None      dot       purple    
2999.png	rpg            3    dice      dot       green     
3000.png	spaz           7    None      holo      blue      
3001.png	revolver       5    None      None      blue      
3002.png	deagle         6    None      thermal   green     
3003.png	revolver       8    None      dot       blue      
3004.png	revolver       8    dice      None      green     
3005.png	tar            8    leaf      holo      green     
3006.png	deagle         7    None      dot       blue      
3007.png	p90            3    leaf      None      purple    
3008.png	spaz           1    pinata    None      green     
3009.png	hunting_rifle  1    None      thermal   purple    
3010.png	p90            3    medal     acog      blue      
3011.png	deagle         5    None      dot       purple    
3012.png	deagle         7    None      dot       blue      
3013.png	deagle         None None      acog      green     
3014.png	hunting_rifle  2    None      holo      green     
3015.png	hunting_rifle  4    None      None      blue      
3016.png	deagle         2    pinata    dot       green     
3017.png	hunting_rifle  None dice      dot       green     
3018.png	spaz           1    leaf      holo      purple    
3019.png	db             None None      dot       red       
3020.png	p90            7    None      dot       green     
3021.png	revolver       2    None      holo      purple    
3022.png	p90            7    None      holo      blue      
3023.png	tar            None None      dot       purple    
3024.png	mp5            4    None      None      blue      
3025.png	revolver       None None      None      green     
3026.png	revolver       4    None      dot       purple    
3027.png	db             None None      acog      green     
3028.png	spaz           2    leaf      dot       blue      
3029.png	revolver       1    None      acog      blue      
3030.png	tar            4    pinata    None      green     
3031.png	p90            7    None      dot       green     
3032.png	revolver       1    None      thermal   green     
3033.png	rpg            3    None      holo      green     
3034.png	db             None None      holo      blue      
3035.png	db             1    None      dot       blue      
3036.png	l96            None None      None      blue      
3037.png	db             1    None      dot       green     
3038.png	db             6    None      acog      green     
3039.png	deagle         None dice      None      green     
3040.png	p90            2    leaf      acog      red       
3041.png	revolver       6    disco     None      purple    
3042.png	revolver       3    leaf      holo      green     
3043.png	hunting_rifle  None None      dot       blue      
3044.png	p90            4    medal     None      blue      
3045.png	deagle         4    None      None      green     
3046.png	spaz           5    leaf      acog      purple    
3047.png	mp5            3    None      None      blue      
3048.png	revolver       3    disco     None      blue      
3049.png	tar            6    disco     acog      blue      
3050.png	tar            2    None      holo      purple    
3051.png	deagle         2    leaf      thermal   blue      
3052.png	mp5            3    None      dot       green     
3053.png	hunting_rifle  1    None      acog      red       
3054.png	rpg            None disco     None      blue      
3055.png	db             2    leaf      dot       blue      
3056.png	db             2    None      dot       purple    
3057.png	p90            None leaf      None      green     
3058.png	deagle         3    None      None      green     
3059.png	deagle         3    None      dot       green     
3060.png	ak47           None medal     holo      blue      
3061.png	spaz           8    leaf      None      purple    
3062.png	spaz           1    None      acog      green     
3063.png	revolver       4    dice      dot       green     
3064.png	tar            None pinata    dot       blue      
3065.png	ak47           4    None      dot       blue      
3066.png	revolver       None None      None      blue      
3067.png	ak47           3    None      acog      blue      
3068.png	spaz           3    None      holo      purple    
3069.png	tar            3    None      dot       green     
3070.png	rpg            3    disco     None      green     
3071.png	ak47           5    pinata    None      red       
3072.png	db             6    leaf      None      blue      
3073.png	p90            1    leaf      acog      red       
3074.png	tar            4    disco     None      purple    
3075.png	tar            8    medal     dot       purple    
3076.png	spaz           1    leaf      thermal   green     
3077.png	deagle         7    None      dot       green     
3078.png	mp5            1    leaf      None      green     
3079.png	deagle         None None      dot       green     
3080.png	revolver       1    None      acog      green     
3081.png	mp5            7    disco     None      blue      
3082.png	revolver       None None      dot       green     
3083.png	mp5            None disco     dot       blue      
3084.png	spaz           7    None      acog      blue      
3085.png	deagle         None None      dot       green     
3086.png	spaz           3    pinata    acog      blue      
3087.png	deagle         2    None      None      green     
3088.png	spaz           None None      dot       red       
3089.png	l96            6    None      dot       red       
3090.png	mp5            2    leaf      None      green     
3091.png	deagle         1    None      dot       blue      
3092.png	mp5            None None      None      green     
3093.png	deagle         4    leaf      None      green     
3094.png	tar            7    leaf      thermal   blue      
3095.png	l96            5    dice      None      green     
3096.png	deagle         5    None      dot       purple    
3097.png	revolver       4    leaf      None      green     
3098.png	ray_gun        8    None      None      blue      
3099.png	revolver       None None      None      green     
3100.png	p90            2    None      dot       green     
3101.png	deagle         2    None      thermal   green     
3102.png	p90            None leaf      holo      green     
3103.png	revolver       6    dice      dot       blue      
3104.png	spaz           3    None      dot       green     
3105.png	revolver       3    leaf      dot       blue      
3106.png	db             None None      holo      blue      
3107.png	spaz           4    dice      dot       purple    
3108.png	db             3    None      dot       green     
3109.png	deagle         4    leaf      None      purple    
3110.png	mp5            5    medal     dot       green     
3111.png	db             2    leaf      None      blue      
3112.png	hunting_rifle  5    dice      acog      blue      
3113.png	db             None None      dot       blue      
3114.png	mp5            8    leaf      dot       green     
3115.png	spaz           1    leaf      None      red       
3116.png	spaz           None leaf      dot       blue      
3117.png	l96            2    None      dot       green     
3118.png	p90            8    None      holo      blue      
3119.png	p90            4    leaf      dot       green     
3120.png	revolver       1    None      None      green     
3121.png	spaz           4    disco     None      blue      
3122.png	p90            6    leaf      None      green     
3123.png	spaz           4    leaf      None      blue      
3124.png	hunting_rifle  1    leaf      dot       green     
3125.png	deagle         3    None      dot       green     
3126.png	db             None None      dot       purple    
3127.png	p90            1    pinata    holo      blue      
3128.png	p90            5    None      acog      green     
3129.png	hunting_rifle  2    None      holo      green     
3130.png	deagle         1    None      None      blue      
3131.png	deagle         None medal     None      purple    
3132.png	mp5            None None      None      green     
3133.png	deagle         5    None      None      green     
3134.png	revolver       4    None      thermal   blue      
3135.png	db             6    leaf      dot       blue      
3136.png	db             None leaf      None      green     
3137.png	deagle         7    pinata    acog      blue      
3138.png	spaz           None None      holo      red       
3139.png	spaz           6    None      acog      blue      
3140.png	db             5    None      dot       blue      
3141.png	p90            2    leaf      holo      blue      
3142.png	deagle         1    None      dot       blue      
